timestamp,run_type,broker,action,symbol,quantity,price,order_id,reason,pnl,capital_remaining,notes
2026-03-18T01:12:37.606230+05:30,morning,kite,INFO,,,,,,,,=== Morning session started ===
2026-03-18T06:57:55.878396+05:30,morning,kite,INFO,,,,,,,,=== Morning session started ===
2026-03-18T06:58:08.913606+05:30,morning,kite,INFO,,,,,,,,[DRY_RUN] Would BUY COALINDIA x17 @ ₹462.25
2026-03-18T06:58:08.913968+05:30,morning,kite,BUY_DRY,COALINDIA,17,462.25,DRY_RUN,,0.0,2141.75,amount_invested=7858.25
2026-03-18T11:05:01.503253+05:30,morning,kite,INFO,,,,,,,,=== Morning session started ===
2026-03-18T11:05:01.715499+05:30,morning,kite,INFO,,,,,,,,Hard stop-loss triggered for COALINDIA. Selling.
2026-03-18T11:09:28.991903+05:30,morning,kite,INFO,,,,,,,,=== Morning session started ===
2026-03-18T11:09:42.259304+05:30,morning,kite,BUY,RELIANCE,5,1411.8,260318150698462,,0.0,2941.0,RSI=50.6 MACD_cross=False
2026-03-18T12:32:47.464354+05:30,midday,kite,INFO,,,,,,,,=== Midday session started ===
2026-03-18T12:33:00.161286+05:30,midday,kite,INFO,,,,,,,,[MIDDAY ROTATION] RELIANCE | action=hold | Holding RELIANCE (score=0.761). TECHM (score=0.684) does not clear the 1.3x rotation threshold.
2026-03-18T12:33:00.161499+05:30,midday,kite,INFO,,,,,,,,Midday: holding RELIANCE.
2026-03-18T15:00:54.235155+05:30,eod,kite,INFO,,,,,,,,=== EOD session started ===
2026-03-18T15:00:54.502524+05:30,eod,kite,INFO,,,,,,,,EOD: holding RELIANCE overnight. P&L: -0.24% — within acceptable range.
2026-03-18T16:00:23.350771+05:30,eod,kite,INFO,,,,,,,,=== EOD session started ===
2026-03-18T16:00:23.616889+05:30,eod,kite,INFO,,,,,,,,EOD: holding RELIANCE overnight. P&L: -0.26% — within acceptable range.
2026-03-19T09:36:21.756979+05:30,morning,kite,INFO,,,,,,,,=== Morning session started ===
2026-03-19T09:36:30.913005+05:30,morning,kite,INFO,,,,,,,,[MORNING ROTATION] RELIANCE | action=rotate | COALINDIA (score=0.900) is 1.4x better than RELIANCE (score=0.631). Rotating.
2026-03-19T11:05:35.673215+05:30,eod,kite,INFO,,,,,,,,=== EOD session started ===
2026-03-19T11:05:35.916389+05:30,eod,kite,INFO,,,,,,,,EOD: holding RELIANCE overnight. P&L: -0.24% — within acceptable range.
2026-03-19T12:06:22.333195+05:30,midday,kite,INFO,,,,,,,,=== Midday session started ===
2026-03-19T12:06:28.523969+05:30,midday,kite,INFO,,,,,,,,[MIDDAY ROTATION] RELIANCE | action=rotate | COALINDIA (score=0.911) is 1.5x better than RELIANCE (score=0.625). Rotating.
2026-03-19T13:01:23.298075+05:30,eod,kite,INFO,,,,,,,,=== EOD session started ===
2026-03-19T13:01:23.534896+05:30,eod,kite,INFO,,,,,,,,EOD loss threshold exceeded for RELIANCE (-0.85%). Selling before close.
2026-03-19T15:01:20.545837+05:30,eod,kite,INFO,,,,,,,,=== EOD session started ===
2026-03-19T15:01:20.800365+05:30,eod,kite,INFO,,,,,,,,EOD stop-loss for RELIANCE (-2.37%). Selling.
2026-03-19T15:39:39.020995+05:30,eod,kite,INFO,,,,,,,,=== EOD session started ===
2026-03-19T15:39:39.304910+05:30,eod,kite,INFO,,,,,,,,EOD stop-loss for RELIANCE (-1.91%). Selling.
2026-03-20T13:50:36.643924+05:30,midday,kite,INFO,,,,,,,,=== Midday session started ===
2026-03-20T13:50:48.483832+05:30,midday,kite,INFO,,,,,,,,[MIDDAY ROTATION] RELIANCE | action=hold | Holding RELIANCE (score=0.825). COALINDIA (score=0.987) does not clear the 1.3x rotation threshold.
2026-03-20T13:50:48.484025+05:30,midday,kite,INFO,,,,,,,,Midday: holding RELIANCE.
2026-03-20T15:21:16.897017+05:30,eod,kite,INFO,,,,,,,,=== EOD session started ===
2026-03-20T15:21:17.157978+05:30,eod,kite,INFO,,,,,,,,EOD: holding RELIANCE overnight. P&L: +0.03% — within acceptable range.
2026-03-20T15:36:55.084629+05:30,eod,kite,INFO,,,,,,,,=== EOD session started ===
2026-03-20T15:36:55.353058+05:30,eod,kite,INFO,,,,,,,,EOD: holding RELIANCE overnight. P&L: +0.18% — within acceptable range.
2026-03-23T09:56:14.065263+05:30,morning,kite,INFO,,,,,,,,=== Morning session started ===
2026-03-23T09:56:20.148812+05:30,morning,kite,INFO,,,,,,,,[MORNING ROTATION] RELIANCE | action=hold | No better Nifty 50 alternative today. Holding RELIANCE (score=0.762).
2026-03-23T09:56:20.149031+05:30,morning,kite,INFO,,,,,,,,Holding RELIANCE after morning analysis.
2026-03-23T11:15:02.970006+05:30,eod,kite,INFO,,,,,,,,=== EOD session started ===
2026-03-23T11:15:03.210048+05:30,eod,kite,INFO,,,,,,,,EOD loss threshold exceeded for RELIANCE (-1.11%). Selling before close.
2026-03-23T11:15:03.482951+05:30,eod,kite,SELL,RELIANCE,5,1396.1,260323151024474,EOD_EXIT,-78.5,9921.5,
2026-03-23T12:05:54.037660+05:30,midday,kite,INFO,,,,,,,,=== Midday session started ===
2026-03-23T12:05:54.037881+05:30,midday,kite,INFO,,,,,,,,No holdings at midday. Scanning for entry opportunity.
2026-03-23T12:05:59.772644+05:30,midday,kite,BUY,TECHM,5,1411.6,260323151226916,,0.0,2863.5,RSI=49.9 MACD_cross=False
2026-03-23T13:15:18.397253+05:30,eod,kite,INFO,,,,,,,,=== EOD session started ===
2026-03-23T13:15:18.626754+05:30,eod,kite,INFO,,,,,,,,EOD loss threshold exceeded for TECHM (-1.18%). Selling before close.
2026-03-23T13:15:18.883599+05:30,eod,kite,SELL,TECHM,5,1394.9,260323151511678,EOD_EXIT,-83.5,9838.0,
2026-03-23T15:00:46.931038+05:30,eod,kite,INFO,,,,,,,,=== EOD session started ===
2026-03-23T15:00:46.931226+05:30,eod,kite,INFO,,,,,,,,No holdings at EOD. Nothing to do.
2026-03-23T16:02:49.663692+05:30,eod,kite,INFO,,,,,,,,=== EOD session started ===
2026-03-23T16:02:49.663892+05:30,eod,kite,INFO,,,,,,,,No holdings at EOD. Nothing to do.
2026-03-24T09:35:38.657117+05:30,morning,kite,INFO,,,,,,,,=== Morning session started ===
2026-03-24T09:35:51.805488+05:30,morning,kite,BUY,RELIANCE,5,1412.9,260324150324441,,0.0,2773.5,RSI=51.2 MACD_cross=False
